StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
41,0,198801,0.59,42,-0.29,3.02,-0.88,2.52,5,640,-1.15,0.03,0.32,-0.33,0.66,0.55,1.27,30.3,53.7
41,0,198802,0.86,48.4,-0.61,2.36,-1.04,1.42,8,416,-0.84,-1.31,-0.36,-0.59,0.01,0.12,1.21,35.2,61.5
41,0,198803,1.67,56.2,-0.5,2.17,0.16,1.26,43,250,0.03,-0.55,-0.91,-0.54,-0.59,0.15,1.38,41.7,70.7
41,0,198804,1.48,64,-0.7,1.69,-0.76,0.5,96,72,-0.62,-0.38,-0.75,-0.29,-0.66,0.27,1.39,49,78.9
41,0,198805,1.98,71.3,-1.21,0.93,-1.76,-0.83,237,8,-1.03,-1.25,-1.01,-0.92,-0.94,-0.42,1.05,58.4,84.2
41,0,198806,2.45,78.3,-1.37,0.56,-0.85,-1.37,414,0,-0.22,-0.88,-1.1,-1.34,-0.95,-0.96,0.73,65.8,90.9
41,0,198807,3.32,81.1,-0.92,0.81,0.92,-0.71,547,0,0.88,0.32,-0.33,-0.68,-0.36,-0.63,1.01,69.9,92.4
41,0,198808,1.66,82.1,-1.22,-1.22,-1.19,-1.22,590,0,-0.47,0.22,-0.07,-0.68,-0.71,-0.77,0.82,70.1,94.1
41,0,198809,3.52,75.6,-0.92,-0.92,0.52,-0.51,387,1,0.51,0.06,0.39,-0.49,-0.79,-0.65,0.8,63.1,88.2
41,0,198810,1.17,66.3,-1.39,-1.39,-1.67,-1.39,154,53,-0.91,-0.27,-0.52,-0.65,-0.87,-0.59,0.14,53.1,79.6
41,0,198811,0.89,58.1,-1.95,-1.95,-2.11,-1.95,65,181,-0.84,-1.24,-0.65,-0.55,-0.92,-0.95,-0.18,43.8,72.4
41,0,198812,1.37,48.5,-2.12,-2.12,-1.13,-2.12,11,422,-0.23,-0.78,-1.11,-0.55,-0.99,-1.21,-0.35,35.6,61.3
41,0,198901,2.34,50.1,-1.9,-1.9,0.01,-1.83,30,396,0.98,0.4,-0.22,-0.56,-0.67,-0.87,-0.21,37.9,62.2
41,0,198902,1.9,45.4,-1.59,-1.59,0.36,-1.29,6,495,0.48,0.9,0.5,-0.26,-0.27,-0.65,-0.37,34.8,56
41,0,198903,1.86,57.6,-1.37,-1.37,0.17,-0.93,45,237,0.25,0.4,0.73,-0.37,-0.14,-0.63,-0.31,43.3,72
41,0,198904,1.13,66.6,-1.82,-1.82,-1.77,-1.82,120,49,-1.11,-0.5,-0.22,-0.35,-0.62,-0.72,-0.29,53,80.1
41,0,198905,3.95,75.3,-1.74,-1.74,-0.34,-1.74,345,1,0.58,-0.18,-0.04,0.2,-0.28,-0.29,-0.49,63.1,87.4
41,0,198906,4.93,77.6,-0.82,-0.82,2.21,0.33,401,0,1.44,1.29,0.68,0.85,0.04,0.22,-0.54,66.1,89.2
41,0,198907,1.73,81.6,-0.91,-0.91,-0.52,-0.01,524,0,-0.56,0.78,0.88,0.45,0.24,-0.06,-0.57,69.6,93.7
41,0,198908,2.45,80.5,-0.76,-0.76,0.18,0.23,506,0,0.31,-0.29,0.72,0.41,0.5,0.07,-0.56,69.1,91.9
41,0,198909,2.12,73.1,-0.96,-0.96,-0.85,-0.33,302,6,-0.53,-0.28,-0.59,0.08,0.39,-0.2,-0.73,60.1,86.1
41,0,198910,1.41,66.9,-1.35,-1.35,-1.45,-1.19,156,42,-0.68,-0.89,-0.68,0.06,-0.07,-0.15,-0.64,52.5,81.3
41,0,198911,0.75,56.9,-1.92,-1.92,-2.14,-1.92,49,204,-1.04,-1.17,-1.28,-0.44,-0.38,-0.18,-0.89,43.5,70.3
41,0,198912,0.67,39.7,-2.24,-2.24,-1.53,-2.24,0,731,-1.26,-1.44,-1.42,-1.42,-0.68,-0.31,-0.96,26.6,52.8
41,0,199001,2.23,50.3,-2.09,-2.09,-0.27,-2.09,30,382,0.87,-0.19,-0.73,-0.97,-0.31,-0.37,-0.8,37.2,63.3
41,0,199002,2.53,53.3,0.15,-1.73,0.44,-1.47,31,278,1.16,1.22,0.41,-0.71,-0.22,-0.23,-0.6,40.1,66.4
41,0,199003,3.14,57.3,0.86,-0.82,2.19,0.49,58,218,1.53,1.74,1.6,-0.03,-0.39,-0.01,-0.42,46.5,68.1
41,0,199004,3.56,64.7,1.46,1.46,2.07,1.46,104,68,1.09,1.45,1.63,0.69,0.12,0.49,-0.14,53,76.4
41,0,199005,3.2,72.8,1.37,1.37,0.17,1.37,302,6,0.05,0.69,1.13,0.99,0.05,0.34,0.06,61,84.5
41,0,199006,1.18,83.6,-0.55,0.67,-1.66,-0.35,556,0,-1.46,-0.92,-0.14,0.78,-0.14,-0.38,-0.12,71.1,96.1
41,0,199007,4.16,79.9,0.57,1.17,1.7,1.03,501,0,1.48,0.08,0.02,1.04,0.52,0.12,0.02,68.9,90.8
41,0,199008,2.13,80.5,0.36,0.9,-0.44,0.44,546,0,0.02,1.01,-0.05,0.77,0.75,0.04,0.08,68.7,92.2
41,0,199009,3.73,76.4,0.54,1.03,0.65,0.83,401,1,0.65,0.41,1.05,0.55,1.14,0.3,0.07,65.4,87.4
41,0,199010,2.2,64.5,0.43,0.86,-0.18,0.48,117,69,-0.06,0.3,0.16,0.07,0.87,0.47,0.18,50.6,78.4
