StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX
9,0,198602,4.71,52.8,-0.62,-0.62,-0.03,-0.62,8,429,0.13,-0.68,-0.83,-0.11,0.21,-0.53,-0.71,40.7,65
9,0,198603,3.19,55.9,-1.16,-1.16,-1.82,-1.16,16,373,-0.8,-0.52,-0.99,-0.01,-0.02,-0.32,-1.01,42.4,69.4
9,0,198604,0.64,63.5,-2.17,-2.17,-3.39,-2.17,34,133,-2.15,-1.75,-1.29,-0.98,-0.7,-0.53,-1.49,47.9,79.1
9,0,198605,2.57,71.7,-2.6,-2.6,-1.97,-2.6,172,28,-0.54,-1.69,-1.73,-1.56,-1.05,-0.72,-1.76,58.7,84.6
9,0,198606,2.7,79.7,-3.34,-3.34,-3.01,-3.34,388,0,-1.36,-1.25,-2.1,-1.83,-0.95,-0.91,-1.76,67.8,91.6
9,0,198607,2.95,83.4,-4.43,-4.43,-4.32,-4.43,527,0,-2.3,-2.28,-1.87,-2.08,-1.73,-1.43,-2.31,70.9,95.9
9,0,198608,6.22,78.7,-3.74,-3.74,0.7,-3.42,376,0,0.82,-0.48,-1.11,-2.04,-2.01,-1.46,-1.94,68.1,89.2
9,0,198609,2.79,75.8,-4.02,-4.02,-2,-4.02,262,5,-0.48,0.18,-0.88,-1.91,-2,-1.19,-1.78,65.8,85.7
9,0,198610,3.71,65.5,0.11,-3.5,0.33,-3.31,64,125,0.65,0,0.47,-1.07,-1.52,-1.4,-1.62,54.5,76.5
9,0,198611,6.16,60.7,0.92,-2.32,2.47,-1.12,29,251,1.66,1.44,0.95,0.1,-1.07,-1.28,-1.22,51.9,69.5
9,0,198612,4.53,48.3,1.07,-1.84,0.72,-0.37,3,615,0.36,1.3,1.28,0.57,-0.63,-1.09,-1.09,39.2,57.3
9,0,198701,7.52,44.4,2.11,2.11,3.47,2.11,3,730,1.64,1.31,1.85,1.54,0.49,-0.28,-0.57,34.2,54.5
9,0,198702,5.75,47.4,2.39,2.39,1.48,2.39,1,558,0.7,1.79,1.52,1.51,0.88,-0.11,-0.52,37.4,57.4
9,0,198703,5.53,55,2.28,2.28,0.4,2.28,13,395,0.31,0.63,1.43,1.74,1.18,0.21,-0.09,43.8,66.2
9,0,198704,0.84,60.1,-0.91,1.14,-2.72,-0.13,10,221,-1.95,-0.8,-0.27,1.07,1.09,0.23,-0.22,46.3,74
9,0,198705,2.78,72.6,-1.38,-1.38,-1.7,-1.38,209,15,-0.39,-1.51,-0.87,0.31,0.73,0.24,-0.35,61,84.2
9,0,198706,6.03,77.5,-0.79,-0.79,1.35,0.05,328,0,1,0.35,-0.74,0.52,1.13,0.7,-0.14,66.5,88.4
9,0,198707,3.61,80.5,-1.49,-1.49,-2.36,-1.49,438,0,-1.37,-0.08,-0.38,-0.46,0.72,0.8,-0.48,68.6,92.4
9,0,198708,3.7,81.7,-2.15,-2.15,-2.43,-2.15,471,0,-0.74,-1.49,-0.5,-1.03,0.06,0.47,-0.72,70.6,92.7
9,0,198709,3.59,74.2,-2.19,-2.19,-0.78,-2.19,222,8,0.01,-0.65,-1.37,-1.28,-0.1,0.55,-0.49,63.2,85.1
9,0,198710,0.26,58.2,-2.74,-2.74,-2.32,-2.74,9,286,-1.83,-1.14,-1.61,-1.38,-1.07,0.09,-0.91,42.8,73.6
9,0,198711,2.92,56.8,-2.69,-2.69,-0.7,-2.69,10,330,0.2,-0.98,-0.81,-1.16,-1.42,-0.37,-1.11,43.9,69.7
9,0,198712,2.46,50.9,-3.15,-3.15,-2.23,-3.15,6,529,-0.95,-0.55,-1.35,-2.17,-1.92,-0.68,-1.39,39.6,62.2
9,0,198801,5.23,41.2,-2.55,-2.55,0.83,-2.16,1,821,0.61,-0.17,-0.12,-1,-1.09,-1.02,-0.92,31.1,51.3
9,0,198802,4.14,46.5,-2.34,-2.34,-0.15,-1.95,1,592,-0.19,0.23,-0.33,-0.74,-1,-1.32,-0.99,33.7,59.4
9,0,198803,3.41,55.1,-2.61,-2.61,-1.53,-2.61,14,387,-0.69,-0.64,-0.29,-0.96,-1.5,-1.59,-0.96,42.2,68
9,0,198804,4.87,63.3,-2.06,-2.06,0.84,-1.64,31,147,0.66,-0.14,-0.19,-0.24,-0.87,-0.97,-0.53,50.1,76.5
9,0,198805,1.78,68.5,-2.44,-2.44,-1.78,-2.44,108,59,-1.17,-0.27,-0.61,-0.61,-0.92,-1.09,-0.63,54.6,82.3
9,0,198806,1.92,76.4,-3.07,-3.07,-2.65,-3.07,312,0,-2.42,-2.13,-1.12,-0.83,-1.28,-1.66,-0.71,62.8,90.1
9,0,198807,3.91,79.4,-3.52,-3.52,-2.3,-3.52,402,0,-1.06,-2.14,-2.1,-1.38,-1.19,-1.65,-0.64,68.4,90.4
9,0,198808,4.85,80.2,-3.52,-3.52,-1.08,-3.52,429,0,0.04,-0.67,-1.7,-1.43,-1.23,-1.51,-0.75,69.5,90.8
9,0,198809,6.49,74.1,-2.36,-2.36,2.39,-1.36,219,9,1.33,1.11,0.39,-0.53,-0.54,-1.04,-0.39,65,83.3
9,0,198810,2.63,60.1,-1.92,-1.92,0.61,-0.66,17,253,0.04,0.99,0.87,-0.88,-0.75,-0.72,-0.47,47.6,72.6
9,0,198811,3.05,56.7,-1.69,-1.69,0.1,-0.39,10,344,0.28,0.15,0.83,-0.33,-0.68,-0.72,-0.78,44.9,68.4
9,0,198812,1.37,47.3,-2.29,-2.29,-2.32,-1.81,1,626,-1.94,-1,-0.78,-0.34,-0.9,-0.9,-1.22,34.1,60.6
9,0,198901,2.24,51.6,-2.84,-2.84,-2.36,-2.84,19,534,-1.16,-1.96,-1.4,-0.38,-1.56,-1.34,-1.63,39.4,63.9
9,0,198902,3.29,50.7,-2.99,-2.99,-1.33,-2.99,5,495,-0.67,-1.26,-1.74,-0.63,-1.5,-1.55,-1.85,39.3,62.1
9,0,198903,4.33,58.2,-3.03,-3.03,-1.04,-3.03,27,310,-0.24,-0.62,-1.09,-1.27,-0.96,-1.31,-2.11,46.8,69.5
9,0,198904,4.04,62.1,0.06,-2.65,0.19,-2.51,22,177,0.25,-0.11,-0.39,-1.15,-0.57,-1.45,-1.79,48.9,75.3
9,0,198905,3.78,68.5,0.19,-2.24,0.41,-1.88,101,70,0.24,0.19,-0.02,-1.11,-0.53,-1.1,-1.65,56.3,80.7
9,0,198906,8.68,77,1.89,1.89,5.14,1.89,301,2,2.17,1.67,1.47,0.12,-0.31,-0.18,-1.35,66.7,87.3
9,0,198907,7.37,78.9,2.58,2.58,2.67,2.58,387,0,1.1,2.04,1.89,0.87,0.02,0.33,-0.99,69.5,88.3
9,0,198908,3.91,78.5,2.27,2.27,-0.15,2.14,370,0,-0.59,0.41,1.49,0.95,-0.14,0.23,-0.92,68.3,88.7
9,0,198909,5.34,73.1,2.83,2.83,2.39,2.83,196,11,0.86,0.28,0.84,1.44,0.48,0.04,-0.74,63.9,82.2
9,0,198910,3.78,64,3.18,3.18,1.93,3.18,48,149,0.68,0.99,0.57,1.63,0.96,0.21,-0.39,52,76
9,0,198911,3.22,55.6,3.16,3.16,0.93,3.16,8,369,0.38,0.61,0.87,1.64,1.25,0.25,-0.39,42.9,68.3
9,0,198912,5.34,40.5,3.51,3.51,2.01,3.51,0,842,0.76,0.65,0.8,1.07,1.51,0.8,0.03,29.5,51.4
9,0,199001,5.77,51.4,3.55,3.55,1.21,3.55,18,520,0.87,1.02,0.9,0.96,1.8,1.24,-0.01,39.3,63.6
9,0,199002,5.44,55.6,3.34,3.34,0.46,3.34,16,355,0.53,0.96,1.12,1.26,1.82,1.52,0.09,44,67.2
9,0,199003,5.25,58.9,-0.09,2.9,-0.28,2.73,31,297,0.19,0.44,0.75,0.99,1.22,1.61,0.33,46.6,71.2
9,0,199004,1.9,62,-0.73,1.96,-1.92,0.96,21,177,-1.06,-0.52,-0.14,0.47,0.64,1.39,0.03,48.3,75.7
9,0,199005,3.13,70.7,-0.91,1.49,-0.79,0.17,147,42,-0.16,-0.92,-0.54,0.29,0.67,1.29,0.16,58.2,83.2
9,0,199006,1.68,78.2,-1.87,-1.87,-3.14,-1.87,337,0,-2.89,-1.49,-1.8,-0.49,0.01,0.31,0.12,65.7,90.6
9,0,199007,4.34,80.7,-2.46,-2.46,-2.36,-2.46,430,0,-0.68,-2,-1.52,-1.02,-0.31,-0.09,0.15,69.2,92.1
9,0,199008,4.07,80.5,-2.91,-2.91,-2.11,-2.91,429,0,-0.47,-0.85,-2.03,-1.52,-0.48,-0.03,0.06,68.9,92.1
9,0,199009,2.09,75.5,-3.54,-3.54,-2.8,-3.54,258,5,-0.99,-1.29,-1.56,-2.07,-1.03,-0.51,-0.38,62.7,88.3
9,0,199010,6.08,65.8,0.95,-2.23,2.84,-1.05,66,125,1.73,0.64,0.31,-0.94,-0.75,-0.19,-0.03,53.3,78.2
9,0,199011,1.75,57,0.41,-2.44,-1.32,-1.75,13,312,-0.62,0.87,0.22,-1.2,-1.21,-0.4,-0.19,42.4,71.5
9,0,199012,3.35,51.6,0.03,-2.53,-1.02,-2.17,7,508,-0.33,-0.68,0.5,-0.5,-1.42,-0.71,0.15,40.7,62.4
9,0,199101,9.53,47.2,1.79,1.79,5.31,1.79,7,649,2.42,1.56,0.98,0.87,-0.06,-0.14,0.77,38.9,55.5
9,0,199102,2.2,51.8,0.76,0.76,-2.56,-0.55,6,463,-1.29,1.17,0.65,0.6,-0.36,-0.62,0.66,39.9,63.7
9,0,199103,7.77,58.1,1.38,1.38,2.1,1.04,26,319,1.24,0.2,1.64,1.32,0.57,-0.24,1.01,45.8,70.3
9,0,199104,5.06,66.5,1.42,1.42,0.56,1.26,64,95,0.75,1.31,0.49,0.95,0.93,0.2,1.13,55.7,77.3
9,0,199105,6.01,73.8,1.91,1.91,1.89,1.91,223,15,1.37,1.42,1.66,1.59,1.37,0.57,1.37,64.3,83.3
9,0,199106,5.55,76.4,2.31,2.31,1.8,2.31,299,0,0.74,1.37,1.51,2,1.81,1.13,1.05,66.4,86.5
9,0,199107,7.64,80.3,2.94,2.94,2.61,2.94,433,0,1.22,1.21,1.71,1.37,1.61,1.56,1.12,70.7,89.9
9,0,199108,6.4,78.4,3.54,3.54,2.71,3.54,364,0,0.91,1.35,1.4,2.08,1.91,1.78,1.33,69,87.8
9,0,199109,1.65,74.3,-0.48,2.7,-1.43,2.07,226,7,-1.37,-0.27,0.54,1.28,1.81,1.76,0.92,62.6,85.9
9,0,199110,0.83,64.6,-1.01,1.84,-1.74,0.49,56,132,-1.26,-1.8,-0.99,0.71,0.74,1.1,0.61,51.8,77.5
9,0,199111,1.74,52.2,-1.26,1.29,-1.08,-0.45,2,455,-0.63,-1.35,-1.93,-0.08,0.97,1.11,0.42,39.5,64.9
9,0,199112,3.46,51,-1.47,0.82,-1.01,-1.19,6,520,-0.26,-0.63,-1.18,-0.49,0.44,1.13,0.4,39.6,62.4
9,0,199201,6.13,46.2,-0.67,1.39,1.95,0.11,5,656,1.04,0.52,0.09,-0.48,0.54,0.66,0.34,35.6,56.7
9,0,199202,5.31,52.2,-0.4,1.45,0.61,0.39,6,430,0.46,1.05,0.6,-0.62,0.3,1.09,0.31,40.8,63.6
9,0,199203,4.99,55.2,-0.39,1.26,-0.11,0.2,14,395,0.07,0.31,0.74,-0.17,0.09,0.71,0.33,42.3,68
9,0,199204,2.32,61.3,-0.82,0.66,-1.41,-0.74,17,184,-0.76,-0.47,-0.13,-0.07,-0.48,0.34,0.38,48.1,74.4
9,0,199205,2.17,67.8,-1.15,-1.15,-1.24,-1.15,95,69,-0.85,-1.15,-0.78,-0.16,-0.93,-0.22,0.27,55.2,80.5
9,0,199206,5.96,75.2,0.73,0.73,2.19,0.73,245,6,0.96,0.07,-0.47,0.22,-0.38,-0.19,0.69,65.1,85.3
9,0,199207,5.2,80.2,0.63,0.63,-0.09,0.63,418,0,-0.06,0.52,-0.08,-0.18,-0.12,-0.5,0.8,69.9,90.5
9,0,199208,7.44,77,1.79,1.79,3.68,1.79,307,0,1.41,0.9,1.14,0.17,0.46,-0.32,1.12,67.6,86.3
9,0,199209,4.26,73.8,2.1,2.1,1.48,2.1,219,8,0.36,1.24,0.93,0.24,0.6,0.01,1.32,64.4,83.3
9,0,199210,3.47,61.9,2.52,2.52,1.91,2.52,30,192,0.52,0.48,1.24,0.8,0.42,0.39,1.02,50,73.7
9,0,199211,7.83,54.8,4.24,4.24,5.95,4.24,6,399,2.21,1.8,1.61,1.95,1.12,1.21,1.66,44.6,65
9,0,199212,3.66,47.3,3.82,3.82,0.05,3.78,2,639,-0.13,1.53,1.4,1.58,1.05,1.24,1.58,38,56.6
9,0,199301,6.54,50.3,4.12,4.12,2.07,4.12,15,558,1.22,0.72,1.8,1.88,1.7,1.28,1.37,41.1,59.5
9,0,199302,3.8,46.6,3.53,3.53,-0.49,3.28,1,592,-0.38,0.61,0.32,1.37,1.72,1.1,1.57,35.7,57.5
9,0,199303,7.04,52.6,3.84,3.84,2.01,3.84,6,476,0.95,0.48,1.02,1.6,1.76,1.34,1.44,41.3,63.9
9,0,199304,2.5,59.1,-0.32,3.13,-0.95,2.7,7,242,-0.64,0.28,0.06,1.24,1.57,1.4,1.23,45.4,72.8
9,0,199305,2.29,69.7,-0.76,2.33,-1.43,1.3,134,43,-0.75,-1.02,-0.11,0.11,1,1.41,0.88,57.4,82
9,0,199306,3.25,78.1,-1.15,1.61,-1.42,0.03,338,0,-0.82,-1.11,-1.31,-0.06,0.76,1.05,0.64,66.3,89.8
9,0,199307,3.11,83.1,-2.27,-2.27,-3.69,-2.27,530,0,-2.03,-1.77,-1.71,-0.97,0.3,0.76,0.17,70.8,95.5
9,0,199308,3.15,80.1,-3.06,-3.06,-3.07,-3.06,424,0,-1.18,-2.24,-2.41,-1.29,-0.75,0.19,-0.18,68.9,91.3
9,0,199309,3.02,75.7,-3.36,-3.36,-1.85,-3.36,265,4,-0.33,-1.28,-2.23,-2.05,-0.86,-0.01,-0.04,63.9,87.5
9,0,199310,4.31,64,0.4,-2.62,1.19,-2.08,46,159,0.95,0.33,-0.34,-1.67,-1,0.12,0.31,52.3,75.6
9,0,199311,3.7,53.9,0.61,-2.09,0.77,-1.21,4,417,0.63,0.93,0.53,-1.02,-0.79,-0.47,0.46,41.8,65.9
9,0,199312,3.15,45.7,0.34,-2.09,-0.64,-1.42,1,670,-0.46,0.05,0.5,-0.84,-1.4,-0.55,0.58,34.6,56.7
9,0,199401,5.37,42.3,0.77,-1.4,1.42,-0.17,2,803,0.68,0.14,0.34,0.07,-0.93,-0.72,0.41,31.5,53.2
9,0,199402,3.56,51.6,0.32,-1.63,-1.12,-0.81,6,471,-0.52,0.06,-0.26,0.24,-0.85,-0.77,0.22,39.9,63.4
9,0,199403,6.59,57.5,0.65,-1.1,1.1,0.1,23,340,0.76,0.26,0.48,0.61,-0.28,-0.81,0.43,44.3,70.7
9,0,199404,2.92,65.3,-0.46,-1.45,-1.38,-0.71,52,105,-0.38,0.27,-0.01,0.18,0,-0.76,0.5,51.7,78.9
9,0,199405,2.21,68.8,-0.87,-1.75,-1.37,-1.33,107,65,-0.81,-0.88,-0.14,-0.26,0.01,-0.76,0.49,56.4,81.1
9,0,199406,7.64,77.7,1.18,1.18,3.53,1.18,339,0,1.75,0.75,0.3,0.49,0.61,-0.17,0.65,67.7,87.6
9,0,199407,8.95,78,2.55,2.55,4.47,2.55,356,0,1.75,2.19,1.59,0.94,0.92,0.67,1.07,68.9,87.1
9,0,199408,5.6,77,2.97,2.97,2.05,2.97,326,0,0.48,1.51,2.01,1.28,0.9,1,0.83,67.2,86.8
9,0,199409,4.01,72.3,3.14,3.14,1.44,3.14,179,15,0.23,0.43,1.43,1.08,1.07,1.11,0.78,61.8,82.8
